Name,Link,Nutritional Values,Category,Tags
chips,https://www.nutritionix.com/uk/food/chips,"['Nutrition Facts', 'Chips', 'Serving Size:', 'grams (117g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 155', 'Calories 365', 'Total Fat 17g', 'grams', 'Saturated Fat 2.7g', 'grams', 'Trans Fat 0.1g', 'grams', 'Polyunsaturated Fat 6.3g', 'grams', 'Monounsaturated Fat 7g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0.6g', 'grams', 'Potassium 677mg', 'milligrams', 'Total Carbohydrates 48g', 'grams', 'Dietary Fiber 4.4g', 'grams', 'Sugars 0.3g', 'grams', 'Protein 4g', 'grams']","Food / Beverages > Grocery > Snack Foods > Chips, Puffs, & Crisps","['Cholesterol Free', 'Low Cholesterol', 'Good Source of Fiber', 'Sugar Free', 'Lifestyle - Sugar']"
trimmed-bacon,https://www.nutritionix.com/uk/food/trimmed-bacon,"['Nutrition Facts', 'Trimmed Bacon', 'Serving Size:', 'grams (14g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3.5', 'Calories 20', 'Total Fat 0.4g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.2g', 'grams', 'Cholesterol 9.2mg', 'milligrams', 'Salt 0.3g', 'grams', 'Potassium 138mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 3.9g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Bacon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
blood-pudding,https://www.nutritionix.com/uk/food/blood-pudding,"['Nutrition Facts', 'Blood Pudding', 'Serving Size:', 'grams (113g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 352', 'Calories 430', 'Total Fat 39g', 'grams', 'Saturated Fat 15g', 'grams', 'Polyunsaturated Fat 3.9g', 'grams', 'Monounsaturated Fat 18g', 'grams', 'Cholesterol 136mg', 'milligrams', 'Salt 1.9g', 'grams', 'Potassium 43mg', 'milligrams', 'Total Carbohydrates 1.5g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 1.5g', 'grams', 'Protein 17g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Sausage,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Low Carb', 'Carb Friendly', 'Ketogenic Diet']"
banger,https://www.nutritionix.com/uk/food/banger,"['Nutrition Facts', 'Banger', 'Serving Size:', 'grams (46g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 113', 'Calories 150', 'Total Fat 13g', 'grams', 'Saturated Fat 4.1g', 'grams', 'Trans Fat 0.1g', 'grams', 'Polyunsaturated Fat 2.4g', 'grams', 'Monounsaturated Fat 5.3g', 'grams', 'Cholesterol 40mg', 'milligrams', 'Salt 0.9g', 'grams', 'Potassium 157mg', 'milligrams', 'Total Carbohydrates 0.7g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.5g', 'grams', 'Protein 8.5g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Sausage,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Low Carb', 'Carb Friendly', 'Ketogenic Diet']"
bacon-trimmed,https://www.nutritionix.com/uk/food/bacon-trimmed,"['Nutrition Facts', 'Bacon Trimmed', 'Serving Size:', 'grams (14g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3.5', 'Calories 20', 'Total Fat 0.4g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.2g', 'grams', 'Cholesterol 9.2mg', 'milligrams', 'Salt 0.3g', 'grams', 'Potassium 138mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 3.9g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Bacon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
saltanas,https://www.nutritionix.com/uk/food/saltanas,"['Nutrition Facts', 'Saltanas', 'Serving Size:', 'grams (145g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 6', 'Calories 438', 'Total Fat 0.7g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.2g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 1082mg', 'milligrams', 'Total Carbohydrates 115g', 'grams', 'Dietary Fiber 5.8g', 'grams', 'Sugars 86g', 'grams', 'Protein 4.9g', 'grams']",Food / Beverages > Grocery > Fruits > Dried Fruits,"['Cholesterol Free', 'Low Cholesterol', 'Low Fat', 'High Fiber', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Excellent Source of Fiber - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
single-cream,https://www.nutritionix.com/uk/food/single-cream,"['Nutrition Facts', 'Single Cream', 'Serving Size:', 'ml (10g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 17', 'Calories 19', 'Total Fat 1.9g', 'grams', 'Saturated Fat 1g', 'grams', 'Trans Fat 0.1g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.5g', 'grams', 'Cholesterol 6mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 14mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.4g', 'grams', 'Protein 0.3g', 'grams']",Food / Beverages > Dairy & Egg Products > Creams & Creamers,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Ketogenic Diet', 'Low Sodium', 'Sugar Free']"
powdered-sugar,https://www.nutritionix.com/uk/food/powdered-sugar,"['Nutrition Facts', 'Powdered Sugar', 'Serving Size:', 'grams (120g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0', 'Calories 467', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 2.4mg', 'milligrams', 'Total Carbohydrates 120g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 117g', 'grams', 'Protein 0g', 'grams']",Food / Beverages > Grocery > Confectionery / Desserts / Sweeteners > Sugar,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'No Wheat Ingredients', 'No Milk Ingredients', 'No Soy Ingredients', 'No Fish Ingredients', 'No Crustacean Shellfish Ingredients', 'No Molluscan Shellfish Ingredients', 'No Tree Nut Ingredients', 'No Peanut Ingredients', 'No Egg Ingredients', 'No Artificial Sweeteners', 'No Artificial Colors', 'No Artificial Flavors', 'No Gluten Ingredients', 'No High Fructose Corn Syrup', 'No Added Salt', 'No Artificial Preservatives', 'No Artificial Ingredients', 'Vegan', 'Vegetarian', 'Pescatarian', '5 Ingredients or Less', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
almond-paste,https://www.nutritionix.com/uk/food/almond-paste,"['Nutrition Facts', 'Almond Paste', 'Serving Size:', 'grams (29g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 30', 'Calories 114', 'Total Fat 3.4g', 'grams', 'Saturated Fat 0.3g', 'grams', 'Polyunsaturated Fat 0.7g', 'grams', 'Monounsaturated Fat 2.2g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 38mg', 'milligrams', 'Total Carbohydrates 21g', 'grams', 'Dietary Fiber 0.6g', 'grams', 'Sugars 20g', 'grams', 'Protein 1.1g', 'grams']",Food / Beverages > Dairy & Egg Products > Puddings & Desserts (Perishable),"['Cholesterol Free', 'Low Cholesterol', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
rocket,https://www.nutritionix.com/uk/food/rocket,"['Nutrition Facts', 'Rocket', 'Serving Size:', 'grams (10g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.6', 'Calories 2.5', 'Total Fat 0.1g', 'grams', 'Saturated Fat 0g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 37mg', 'milligrams', 'Total Carbohydrates 0.4g', 'grams', 'Dietary Fiber 0.2g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 0.3g', 'grams']",Find on Amazon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', 'Calorie Free', 'Low Calorie', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Sugar Free', 'Calorie Free - FDA Shelf Tag', 'Low Calorie - FDA Shelf Tag', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'No Wheat Ingredients', 'No Milk Ingredients', 'No Soy Ingredients', 'No Fish Ingredients', 'No Crustacean Shellfish Ingredients', 'No Molluscan Shellfish Ingredients', 'No Tree Nut Ingredients', 'No Peanut Ingredients', 'No Egg Ingredients', 'No Added Sugars', 'No Artificial Sweeteners', 'No Artificial Colors', 'No Artificial Flavors', 'No Gluten Ingredients', 'No High Fructose Corn Syrup', 'No Added Salt', 'No Artificial Preservatives', 'No Artificial Ingredients', 'Vegan', 'Vegetarian', 'Pescatarian', 'Paleo (Strict)', 'Paleo (Friendly)', 'Whole Food', 'Plant Based Whole Food', '5 Ingredients or Less', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Sugar Free - FDA Shelf Tag', 'Lifestyle - Carb', 'Lifestyle - Sodium', 'Lifestyle - Sugar', 'Mediterranean Diet', 'Plant Powered']"
bacon,https://www.nutritionix.com/uk/food/bacon,"['Nutrition Facts', 'Bacon', 'Serving Size:', 'grams (25g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 12', 'Calories 43', 'Total Fat 1.4g', 'grams', 'Saturated Fat 0.5g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.2g', 'grams', 'Monounsaturated Fat 0.5g', 'grams', 'Cholesterol 19mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 105mg', 'milligrams', 'Total Carbohydrates 0g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0g', 'grams', 'Protein 7g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Unprepared / Unprocessed > Pork > Primary Cuts > Loins,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Sugar Free', 'Low Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Sugar Free - FDA Shelf Tag', 'Lifestyle - Carb', 'Lifestyle - Protein', 'Lifestyle - Sodium', 'Lifestyle - Sugar']"
prawn,https://www.nutritionix.com/uk/food/prawn,"['Nutrition Facts', 'Prawn', 'Serving Size:', 'grams (5g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.8', 'Calories 6', 'Total Fat 0.1g', 'grams', 'Saturated Fat 0g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 11mg', 'milligrams', 'Salt 0.1g', 'grams', 'Potassium 8.5mg', 'milligrams', 'Total Carbohydrates 0.1g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0g', 'grams', 'Protein 1.1g', 'grams']",Find on Amazon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free', 'Fat Free - FDA Shelf Tag']"
ladyfinger,https://www.nutritionix.com/uk/food/ladyfinger,"['Nutrition Facts', 'Ladyfinger', 'Serving Size:', 'grams (11g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 9', 'Calories 40', 'Total Fat 1g', 'grams', 'Saturated Fat 0.3g', 'grams', 'Polyunsaturated Fat 0.2g', 'grams', 'Monounsaturated Fat 0.4g', 'grams', 'Cholesterol 24mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 12mg', 'milligrams', 'Total Carbohydrates 6.6g', 'grams', 'Dietary Fiber 0.1g', 'grams', 'Protein 1.2g', 'grams']",Food / Beverages > Grocery > Prepared & Preserved Foods > Desserts,"['Saturated Fat Free', 'Low Saturated Fat', 'Low Sodium', 'Sugar Free']"
