Name,Link,Nutritional Values,Category,Tags
plain-flour,https://www.nutritionix.com/uk/food/plain-flour,"['Nutrition Facts', 'Plain Flour', 'Serving Size:', 'grams (125g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 11', 'Calories 455', 'Total Fat 1.2g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Polyunsaturated Fat 0.5g', 'grams', 'Monounsaturated Fat 0.1g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 134mg', 'milligrams', 'Total Carbohydrates 95g', 'grams', 'Dietary Fiber 3.4g', 'grams', 'Sugars 0.3g', 'grams', 'Protein 13g', 'grams']",Food / Beverages > Grocery > Baking & Cooking > Flour,"['Cholesterol Free', 'Low Cholesterol', 'Low Fat', 'Good Source of Fiber', 'Saturated Fat Free', 'Low Saturated Fat', 'Sodium Free', 'Very Low Sodium', 'Low Sodium', 'Sugar Free', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Good Source of Fiber - FDA Shelf Tag', 'No Milk Ingredients', 'No Soy Ingredients', 'No Fish Ingredients', 'No Crustacean Shellfish Ingredients', 'No Molluscan Shellfish Ingredients', 'No Tree Nut Ingredients', 'No Peanut Ingredients', 'No Egg Ingredients', 'No Added Sugars', 'No Artificial Sweeteners', 'No Artificial Colors', 'No Artificial Flavors', 'No High Fructose Corn Syrup', 'No Added Salt', 'No Artificial Preservatives', 'No Artificial Ingredients', 'Vegan', 'Vegetarian', 'Pescatarian', '5 Ingredients or Less', 'Low Saturated Fat - FDA Shelf Tag', 'Sodium Free - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Sugar Free - FDA Shelf Tag', 'Lifestyle - Protein', 'Lifestyle - Sodium', 'Lifestyle - Sugar']"
treacle,https://www.nutritionix.com/uk/food/treacle,"['Nutrition Facts', 'Treacle', 'Serving Size:', 'grams (337g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3', 'Calories 977', 'Total Fat 0.3g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Polyunsaturated Fat 0.2g', 'grams', 'Monounsaturated Fat 0.1g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0.3g', 'grams', 'Potassium 4934mg', 'milligrams', 'Total Carbohydrates 252g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 252g', 'grams', 'Protein 0g', 'grams']",Food / Beverages > Grocery > Confectionery / Desserts / Sweeteners > Molasses,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
water-biscuit,https://www.nutritionix.com/uk/food/water-biscuit,"['Nutrition Facts', 'Water Biscuit', 'Serving Size:', 'grams (4g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 9.5', 'Calories 20', 'Total Fat 1.1g', 'grams', 'Saturated Fat 0.2g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.5g', 'grams', 'Monounsaturated Fat 0.3g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0.1g', 'grams', 'Potassium 4.7mg', 'milligrams', 'Total Carbohydrates 2.5g', 'grams', 'Dietary Fiber 0.1g', 'grams', 'Sugars 0.3g', 'grams', 'Protein 0.3g', 'grams']",Food / Beverages > Grocery > Snack Foods > Crackers & Crispbreads,"['Atkins 100', 'Atkins Friendly', 'Low Carb', 'Cholesterol Free', 'Low Cholesterol', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
trimmed-back-bacon,https://www.nutritionix.com/uk/food/trimmed-back-bacon,"['Nutrition Facts', 'Trimmed Back Bacon', 'Serving Size:', 'grams (14g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3.5', 'Calories 20', 'Total Fat 0.4g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.2g', 'grams', 'Cholesterol 9.2mg', 'milligrams', 'Salt 0.3g', 'grams', 'Potassium 138mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 3.9g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Bacon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
profiterole,https://www.nutritionix.com/uk/food/profiterole,null,null,null
bacon-raw,https://www.nutritionix.com/uk/food/bacon-raw,"['Nutrition Facts', 'Bacon Raw', 'Serving Size:', 'grams (33g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 12', 'Calories 44', 'Total Fat 1.3g', 'grams', 'Saturated Fat 0.5g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.2g', 'grams', 'Monounsaturated Fat 0.6g', 'grams', 'Cholesterol 21mg', 'milligrams', 'Salt 0.1g', 'grams', 'Potassium 118mg', 'milligrams', 'Total Carbohydrates 0g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0g', 'grams', 'Protein 7.5g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Unprepared / Unprocessed > Bacon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Sugar Free', 'Low Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag', 'Sugar Free - FDA Shelf Tag', 'Lifestyle - Carb', 'Lifestyle - Protein', 'Lifestyle - Sodium', 'Lifestyle - Sugar']"
fruit-spread,https://www.nutritionix.com/uk/food/fruit-spread,"['Nutrition Facts', 'Fruit Spread', 'Serving Size:', 'grams (20g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.1', 'Calories 56', 'Total Fat 0g', 'grams', 'Saturated Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 0mg', 'milligrams', 'Salt 0g', 'grams', 'Potassium 15mg', 'milligrams', 'Total Carbohydrates 14g', 'grams', 'Dietary Fiber 0.2g', 'grams', 'Sugars 9.7g', 'grams', 'Protein 0.1g', 'grams']",Food / Beverages > Grocery > Condiments > Fruit-Based Spreads,"['Cholesterol Free', 'Low Cholesterol', 'Fat Free', 'Low Fat', 'Saturated Fat Free', 'Low Saturated Fat', 'Very Low Sodium', 'Low Sodium', 'Cholesterol Free - FDA Shelf Tag', 'Low Cholesterol - FDA Shelf Tag', 'Fat Free - FDA Shelf Tag', 'Low Fat - FDA Shelf Tag', 'Saturated Fat Free - FDA Shelf Tag', 'Low Saturated Fat - FDA Shelf Tag', 'Very Low Sodium - FDA Shelf Tag', 'Low Sodium - FDA Shelf Tag']"
bacon-medallions,https://www.nutritionix.com/uk/food/bacon-medallions,"['Nutrition Facts', 'Bacon Medallions', 'Serving Size:', 'grams (14g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 3.5', 'Calories 20', 'Total Fat 0.4g', 'grams', 'Saturated Fat 0.1g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0.1g', 'grams', 'Monounsaturated Fat 0.2g', 'grams', 'Cholesterol 9.2mg', 'milligrams', 'Salt 0.3g', 'grams', 'Potassium 138mg', 'milligrams', 'Total Carbohydrates 0.3g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0.2g', 'grams', 'Protein 3.9g', 'grams']",Food / Beverages > Meat / Poultry / Seafood > Prepared / Processed > Bacon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free']"
doner-kebab,https://www.nutritionix.com/uk/food/doner-kebab,"['Nutrition Facts', 'Doner Kebab', 'Serving Size:', 'grams (390g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 354', 'Calories 723', 'Total Fat 39g', 'grams', 'Saturated Fat 16g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 3.1g', 'grams', 'Monounsaturated Fat 17g', 'grams', 'Cholesterol 163mg', 'milligrams', 'Salt 4.6g', 'grams', 'Potassium 898mg', 'milligrams', 'Total Carbohydrates 43g', 'grams', 'Dietary Fiber 3.4g', 'grams', 'Sugars 6.8g', 'grams', 'Protein 47g', 'grams']",Food / Beverages > Bakery / Deli > Prepared & Preserved Foods > Burritos / Sandwiches / Wraps (Perishable),['Good Source of Fiber']
prawns,https://www.nutritionix.com/uk/food/prawns,"['Nutrition Facts', 'Prawns', 'Serving Size:', 'grams (5g', 'grams', ')', 'Amount Per Serving', 'Calories from Fat 0.8', 'Calories 6', 'Total Fat 0.1g', 'grams', 'Saturated Fat 0g', 'grams', 'Trans Fat 0g', 'grams', 'Polyunsaturated Fat 0g', 'grams', 'Monounsaturated Fat 0g', 'grams', 'Cholesterol 11mg', 'milligrams', 'Salt 0.1g', 'grams', 'Potassium 8.5mg', 'milligrams', 'Total Carbohydrates 0.1g', 'grams', 'Dietary Fiber 0g', 'grams', 'Sugars 0g', 'grams', 'Protein 1.1g', 'grams']",Find on Amazon,"['Atkins 20', 'Atkins 40', 'Atkins 100', 'Atkins Friendly', '100 Calories or Less', 'Low Carb', 'Carb Friendly', 'Fat Free', 'Low Fat', 'Ketogenic Diet', 'Saturated Fat Free', 'Low Saturated Fat', 'Sugar Free', 'Fat Free - FDA Shelf Tag']"
